Customer_ID,Customer_Type,Gender,Age,Nationality,Emirate,Industry,Company_Size,Customer_Segment,Customer_Since,Acquisition_Channel
CUST-00001,Individual,Male,46,Other,Abu Dhabi,Individual,,Affluent,2024-01-22,Corporate Partner
CUST-00002,Corporate,Male,57,Pakistani,Dubai,Construction,Large,Corporate,2019-07-26,Insurance Broker
CUST-00003,SME,Male,34,Indian,Abu Dhabi,Retail,Micro,SME,2018-10-31,Corporate Partner
CUST-00004,Individual,Male,33,Sri Lankan,Ajman,Individual,,Mass Market,2024-12-04,Insurance Broker
CUST-00005,Individual,Female,57,Filipino,Ras Al Khaimah,Individual,,Mass Market,2020-12-16,Insurance Broker
CUST-00006,Individual,Male,48,Filipino,Dubai,Individual,,Affluent,2020-09-13,Insurance Agent
CUST-00007,Individual,Female,48,Indian,Dubai,Individual,,Mass Market,2020-07-08,Branch
CUST-00008,SME,Female,63,Filipino,Abu Dhabi,Healthcare,Small,SME,2019-10-22,Insurance Broker
CUST-00009,Individual,Male,24,Pakistani,Abu Dhabi,Individual,,Mass Market,2024-11-19,Insurance Agent
CUST-00010,Individual,Male,55,Indian,Ajman,Individual,,High Net Worth,2019-06-29,Insurance Broker
CUST-00011,Individual,Male,64,Indian,Abu Dhabi,Individual,,Mass Market,2024-05-17,Direct Online
CUST-00012,Corporate,Female,53,Other,Abu Dhabi,Hospitality,Large,Corporate,2024-12-02,Direct Online
CUST-00013,SME,Female,46,Indian,Abu Dhabi,Government,Medium,SME,2026-03-17,Corporate Partner
CUST-00014,Individual,Female,65,Other,Dubai,Individual,,Mass Market,2023-04-05,Direct Online
CUST-00015,Individual,Female,56,Pakistani,Dubai,Individual,,Mass Market,2019-05-12,Branch
CUST-00016,Individual,Female,43,Filipino,Ajman,Individual,,Mass Market,2023-08-23,Insurance Agent
CUST-00017,Individual,Female,69,Other,Dubai,Individual,,Affluent,2022-03-17,Bank / Bancassurance
CUST-00018,Individual,Male,33,Emirati,Ras Al Khaimah,Individual,,Affluent,2018-11-21,Insurance Broker
CUST-00019,Individual,Female,28,Egyptian,Ras Al Khaimah,Individual,,Affluent,2018-11-15,Corporate Partner
CUST-00020,Individual,Male,38,Bangladeshi,Dubai,Individual,,Mass Market,2019-06-02,Insurance Agent
