Lead_ID,Customer_ID,Lead_Date,Lead_Source,Product_Interest,Lead_Status,Quoted_Premium,Converted_Flag,Lead_Year
LEAD-00000001,CUST-23655,2024-04-07,Social Media,Cyber Security Insurance,Quoted,4153.66,0,2024
LEAD-00000002,CUST-16851,2025-09-19,Website,Travel Insurance,Quoted,17789.39,0,2025
LEAD-00000003,CUST-01686,2024-07-07,Referral,Business Insurance,New,24807.63,0,2024
LEAD-00000004,CUST-17569,2025-05-13,Insurance Broker,Motor Fleet Insurance,Contacted,15412.77,0,2025
LEAD-00000005,CUST-24234,2024-09-15,Website,Life Insurance,Qualified,24585.8,0,2024
LEAD-00000006,CUST-17913,2024-11-07,Social Media,SME Insurance,New,23572.38,0,2024
LEAD-00000007,CUST-10254,2025-12-17,Website,Travel Insurance,Contacted,6253.33,0,2025
LEAD-00000008,CUST-23484,2025-03-25,Bank Partner,Life Insurance,Lost,6691.87,0,2025
LEAD-00000009,CUST-03944,2023-10-25,Website,Business Insurance,Quoted,4865.91,0,2023
LEAD-00000010,CUST-12991,2025-07-10,Bank Partner,Health Insurance,Qualified,23188.47,0,2025
LEAD-00000011,CUST-11535,2025-05-17,Insurance Broker,Motor Fleet Insurance,Lost,21159.99,0,2025
LEAD-00000012,CUST-24301,2025-09-12,Insurance Broker,Cyber Security Insurance,Contacted,7239.08,0,2025
LEAD-00000013,CUST-08572,2025-04-10,Google Ads,Car Insurance,New,10758.02,0,2025
LEAD-00000014,CUST-02028,2024-11-06,Google Ads,Life Insurance,Quoted,18306.48,0,2024
LEAD-00000015,CUST-12667,2025-12-28,Referral,SME Insurance,Converted,11401.43,1,2025
LEAD-00000016,CUST-19489,2023-09-09,Website,Cyber Security Insurance,Quoted,14905.06,0,2023
LEAD-00000017,CUST-10966,2023-12-29,Website,Life Insurance,Converted,14163.55,1,2023
LEAD-00000018,CUST-06911,2025-07-14,Insurance Broker,Motor Fleet Insurance,Quoted,3039.0,0,2025
LEAD-00000019,CUST-23420,2024-04-04,Insurance Broker,Home Insurance,Quoted,17479.25,0,2024
LEAD-00000020,CUST-14821,2025-12-28,Website,Home Insurance,Lost,15091.98,0,2025
LEAD-00000021,CUST-19542,2025-01-15,Insurance Broker,Motor Fleet Insurance,New,11576.4,0,2025
LEAD-00000022,CUST-13932,2026-02-07,Google Ads,Motor Fleet Insurance,Quoted,312.85,0,2026
LEAD-00000023,CUST-22249,2024-09-05,Insurance Broker,Motor Fleet Insurance,Qualified,17403.17,0,2024
LEAD-00000024,CUST-13546,2024-10-01,Social Media,Business Insurance,Contacted,14085.12,0,2024
LEAD-00000025,CUST-20148,2025-05-31,Branch,SME Insurance,Qualified,7731.69,0,2025
LEAD-00000026,CUST-20081,2024-01-07,Google Ads,Car Insurance,Lost,10452.61,0,2024
LEAD-00000027,CUST-00855,2025-07-27,Social Media,Health Insurance,Qualified,11360.24,0,2025
LEAD-00000028,CUST-21920,2025-12-12,Referral,Cyber Security Insurance,Contacted,18286.94,0,2025
LEAD-00000029,CUST-02328,2024-03-15,Branch,Business Insurance,Qualified,2530.16,0,2024
