Renewal_ID,Policy_ID,Customer_ID,Product_ID,Expiry_Date,Renewal_Date,Renewal_Status,Renewed_Flag,Previous_Premium,New_Premium,Customer_Type,Customer_Segment,Emirate
REN-0000001,POL-000001,CUST-00001,PROD022,2025-10-18,2025-11-05,Renewed,1,602.66,634.01,Individual,Affluent,Abu Dhabi
REN-0000002,POL-000004,CUST-00002,PROD015,2022-05-02,2022-05-12,Renewed,1,24803.96,26012.46,Corporate,Corporate,Dubai
REN-0000003,POL-000005,CUST-00002,PROD004,2024-08-12,2024-08-12,Not Renewed,0,31856.01,0.0,Corporate,Corporate,Dubai
REN-0000004,POL-000006,CUST-00003,PROD014,2026-07-15,2026-08-13,Renewed,1,12126.26,13520.4,SME,SME,Abu Dhabi
REN-0000005,POL-000008,CUST-00004,PROD019,2026-02-06,2026-01-28,Lost to Competitor,0,2020.13,0.0,Individual,Mass Market,Ajman
REN-0000006,POL-000009,CUST-00005,PROD019,2022-12-29,2022-12-20,Renewed,1,1856.81,1953.03,Individual,Mass Market,Ras Al Khaimah
REN-0000007,POL-000010,CUST-00005,PROD016,2023-05-02,2023-05-03,Renewed,1,947.87,1045.88,Individual,Mass Market,Ras Al Khaimah
REN-0000008,POL-000011,CUST-00006,PROD020,2024-07-08,2024-07-22,Not Renewed,0,3633.13,0.0,Individual,Affluent,Dubai
REN-0000009,POL-000012,CUST-00006,PROD016,2024-01-24,2024-02-10,Renewed,1,1147.96,1316.54,Individual,Affluent,Dubai
REN-0000010,POL-000013,CUST-00006,PROD025,2024-12-10,2024-12-02,Renewed,1,524.61,594.48,Individual,Affluent,Dubai
REN-0000011,POL-000015,CUST-00008,PROD011,2024-04-26,2024-04-24,Renewed,1,4448.16,4616.33,SME,SME,Abu Dhabi
REN-0000012,POL-000016,CUST-00008,PROD007,2025-04-09,2025-04-12,Renewed,1,6196.52,6983.53,SME,SME,Abu Dhabi
REN-0000013,POL-000017,CUST-00008,PROD012,2025-04-14,2025-04-05,Renewed,1,1622.34,1804.22,SME,SME,Abu Dhabi
REN-0000014,POL-000018,CUST-00009,PROD018,2026-01-10,2026-01-06,Renewed,1,4504.64,4969.52,Individual,Mass Market,Abu Dhabi
REN-0000015,POL-000019,CUST-00010,PROD022,2021-01-12,2021-02-05,Renewed,1,1158.04,1319.14,Individual,High Net Worth,Ajman
REN-0000016,POL-000020,CUST-00010,PROD017,2024-03-29,2024-04-27,Renewed,1,1533.23,1718.2,Individual,High Net Worth,Ajman
REN-0000017,POL-000021,CUST-00011,PROD017,2025-10-07,2025-09-30,Renewed,1,1441.6,1516.83,Individual,Mass Market,Abu Dhabi
REN-0000018,POL-000022,CUST-00012,PROD009,2025-12-10,2025-12-25,Renewed,1,23027.76,24961.41,Corporate,Corporate,Abu Dhabi
REN-0000019,POL-000023,CUST-00012,PROD005,2026-08-12,2026-09-06,Renewed,1,17842.37,19657.8,Corporate,Corporate,Abu Dhabi
REN-0000020,POL-000025,CUST-00012,PROD006,2025-12-23,2025-12-20,Renewed,1,59687.62,65564.06,Corporate,Corporate,Abu Dhabi
REN-0000021,POL-000029,CUST-00014,PROD021,2024-09-06,2024-10-05,Renewed,1,323.78,366.31,Individual,Mass Market,Dubai
REN-0000022,POL-000031,CUST-00015,PROD018,2023-01-07,2023-01-20,Renewed,1,794.95,852.83,Individual,Mass Market,Dubai
